en,desc,price,unit,change,cat,src,quoteDate,icon,color,fetched,hist
Aluminum A00,"A00 铝锭, 长江有色均价",24180.0,CNY/t,0,Non-Ferrous,长江有色,2026-06-01,🔩,#3068a8,True,"[25080.0, 24910.0, 24800.0, 24390.0, 24380.0, 24050.0, 24300.0, 24180.0]"
Copper 1#,"1# 电解铜, 长江有色均价",105040.0,CNY/t,0,Non-Ferrous,长江有色,2026-06-01,⚡,#b86e2c,True,"[102510.0, 102940.0, 102980.0, 101650.0, 104470.0, 104430.0, 105870.0, 105040.0]"
Neodymium (Nd),"金属钕, 国际现货 (USD→CNY)",0.0,CNY/kg,0,Rare Earth,DailyMetalPrice,2026-06-01,🧲,#6e4fa0,False,"[0, 0, 0, 0, 0, 0, 0, 0]"
PC Resin,"注塑级, 华东现货",6501.0,CNY/t,0,Plastics,生意社,2026-06-01,♻️,#1e806c,True,"[6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0]"
ABS Resin,"通用级, 华东现货",6501.0,CNY/t,0,Plastics,生意社,2026-06-01,♻️,#1e806c,True,"[6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0]"
Silicon Steel (Oriented),"取向硅钢 0.3mm, 华东现货",6501.0,CNY/t,0,Steel,生意社,2026-06-01,🏗️,#7a6540,True,"[6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0]"
