en,desc,price,unit,change,cat,src,quoteDate,icon,color,fetched,hist
Aluminum A00,"A00 铝锭, 长江有色均价",23200.0,CNY/t,0,Non-Ferrous,长江有色,2026-07-27,🔩,#3068a8,True,"[24000.0, 24130.0, 23870.0, 22930.0, 22830.0, 22990.0, 23190.0, 23200.0]"
Copper 1#,"1# 电解铜, 长江有色均价",105760.0,CNY/t,0,Non-Ferrous,长江有色,2026-07-27,⚡,#b86e2c,True,"[104270.0, 105920.0, 104550.0, 102520.0, 103420.0, 103410.0, 104730.0, 105760.0]"
Neodymium (Nd),"金属钕, 国际现货 (USD→CNY)",0.0,CNY/kg,0,Rare Earth,DailyMetalPrice,2026-07-27,🧲,#6e4fa0,False,"[0, 0, 0, 0, 0, 0, 0, 0]"
PC Resin,"注塑级, 华东现货",6501.0,CNY/t,0,Plastics,生意社,2026-07-27,♻️,#1e806c,True,"[6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0]"
ABS Resin,"通用级, 华东现货",6501.0,CNY/t,0,Plastics,生意社,2026-07-27,♻️,#1e806c,True,"[6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0]"
Silicon Steel (Oriented),"取向硅钢 0.3mm, 华东现货",6501.0,CNY/t,0,Steel,生意社,2026-07-27,🏗️,#7a6540,True,"[6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0, 6501.0]"
